MinX,MaxX,MinY,MaxY,GridID
152.7,152.8,-25.6,-25.5,1
146,146.1,-17.9,-17.8,2
136.5,136.6,-13.1,-13,3
152.8,152.9,-25.6,-25.5,4
146.1,146.2,-17.9,-17.8,5
136.6,136.7,-13.1,-13,6
152.9,153,-25.6,-25.5,7
133.7,133.8,-32.4,-32.3,8
133.8,133.9,-32.4,-32.3,9
133.9,134,-32.4,-32.3,10
142,142.1,-10.2,-10.1,11
142.1,142.2,-10.2,-10.1,12
136.5,136.6,-16,-15.9,13
142.2,142.3,-10.2,-10.1,14
136.6,136.7,-16,-15.9,15
142.3,142.4,-10.2,-10.1,16
136.7,136.8,-16,-15.9,17
136.8,136.9,-16,-15.9,18
136.9,137,-16,-15.9,19
113.5,113.6,-25.7,-25.6,20
137,137.1,-16,-15.9,21
137.1,137.2,-16,-15.9,22
153.5,153.6,-28.5,-28.4,23
122.3,122.4,-17,-16.9,24
122.4,122.5,-17,-16.9,25
122.5,122.6,-17,-16.9,26
122.6,122.7,-17,-16.9,27
123.1,123.2,-17,-16.9,28
125.9,126,-14.1,-14,29
123.2,123.3,-17,-16.9,30
126,126.1,-14.1,-14,31
126.1,126.2,-14.1,-14,32
126.3,126.4,-14.1,-14,33
126.4,126.5,-14.1,-14,34
123.6,123.7,-17,-16.9,35
126.5,126.6,-14.1,-14,36
141.6,141.7,-13.1,-13,37
123.7,123.8,-17,-16.9,38
123.8,123.9,-17,-16.9,39
126.6,126.7,-14.1,-14,40
123.9,124,-17,-16.9,41
126.7,126.8,-14.1,-14,42
126.8,126.9,-14.1,-14,43
148.6,148.7,-20.8,-20.7,44
126.9,127,-14.1,-14,45
148.7,148.8,-20.8,-20.7,46
152.7,152.8,-31.4,-31.3,47
148.8,148.9,-20.8,-20.7,48
152.8,152.9,-31.4,-31.3,49
127.3,127.4,-14.1,-14,50
127.4,127.5,-14.1,-14,51
127.5,127.6,-14.1,-14,52
130.4,130.5,-11.2,-11.1,53
143.5,143.6,-13.1,-13,54
131.2,131.3,-11.2,-11.1,55
141.3,141.4,-16,-15.9,56
141.4,141.5,-16,-15.9,57
131.9,132,-11.2,-11.1,58
141.5,141.6,-16,-15.9,59
132,132.1,-11.2,-11.1,60
132.1,132.2,-11.2,-11.1,61
129.4,129.5,-14.1,-14,62
132.2,132.3,-11.2,-11.1,63
129.5,129.6,-14.1,-14,64
132.3,132.4,-11.2,-11.1,65
129.6,129.7,-14.1,-14,66
129.7,129.8,-14.1,-14,67
132.5,132.6,-11.2,-11.1,68
150.7,150.8,-23.7,-23.6,69
150.8,150.9,-23.7,-23.6,70
150.9,151,-23.7,-23.6,71
151,151.1,-23.7,-23.6,72
151.1,151.2,-23.7,-23.6,73
151.2,151.3,-23.7,-23.6,74
145.3,145.4,-16,-15.9,75
145.4,145.5,-16,-15.9,76
136.6,136.7,-11.2,-11.1,77
136.7,136.8,-11.2,-11.1,78
135.8,135.9,-14.1,-14,79
135.9,136,-14.1,-14,80
136.4,136.5,-14.1,-14,81
136.6,136.7,-14.1,-14,82
136.7,136.8,-14.1,-14,83
146.2,146.3,-18.9,-18.8,84
116.1,116.2,-20.9,-20.8,85
153,153.1,-26.6,-26.5,86
116.2,116.3,-20.9,-20.8,87
116.3,116.4,-20.9,-20.8,88
116.4,116.5,-20.9,-20.8,89
116.5,116.6,-20.9,-20.8,90
142.1,142.2,-11.2,-11.1,91
144.4,144.5,-38.2,-38.1,92
153,153.1,-29.5,-29.4,93
153.1,153.2,-29.5,-29.4,94
124.7,124.8,-15.1,-15,95
153.2,153.3,-29.5,-29.4,96
124.8,124.9,-15.1,-15,97
142.7,142.8,-11.2,-11.1,98
153.3,153.4,-29.5,-29.4,99
122.1,122.2,-18,-17.9,100
124.9,125,-15.1,-15,101
122.2,122.3,-18,-17.9,102
125,125.1,-15.1,-15,103
122.3,122.4,-18,-17.9,104
125.1,125.2,-15.1,-15,105
125.2,125.3,-15.1,-15,106
145.3,145.4,-38.2,-38.1,107
125.3,125.4,-15.1,-15,108
125.4,125.5,-15.1,-15,109
141.5,141.6,-14.1,-14,110
141.6,141.7,-14.1,-14,111
138.9,139,-17,-16.9,112
152.4,152.5,-32.4,-32.3,113
139,139.1,-17,-16.9,114
137.3,137.4,-33.4,-33.3,115
152.5,152.6,-32.4,-32.3,116
139.2,139.3,-17,-16.9,117
139.3,139.4,-17,-16.9,118
139.4,139.5,-17,-16.9,119
139.5,139.6,-17,-16.9,120
137.8,137.9,-33.4,-33.3,121
150.4,150.5,-35.3,-35.2,122
149.4,149.5,-21.8,-21.7,123
128,128.1,-15.1,-15,124
128.1,128.2,-15.1,-15,125
130.9,131,-12.2,-12.1,126
128.2,128.3,-15.1,-15,127
131,131.1,-12.2,-12.1,128
128.3,128.4,-15.1,-15,129
131.1,131.2,-12.2,-12.1,130
128.4,128.5,-15.1,-15,131
131.2,131.3,-12.2,-12.1,132
128.5,128.6,-15.1,-15,133
143.6,143.7,-14.1,-14,134
131.3,131.4,-12.2,-12.1,135
140.9,141,-17,-16.9,136
141,141.1,-17,-16.9,137
141.1,141.2,-17,-16.9,138
128.9,129,-15.1,-15,139
129,129.1,-15.1,-15,140
129.1,129.2,-15.1,-15,141
144.2,144.3,-14.1,-14,142
129.2,129.3,-15.1,-15,143
144.3,144.4,-14.1,-14,144
